property_id,price,rooms,bathrooms,lat,lon,surface_total
H0,524724071.3084175,3,1,4.620924079097806,-74.12953710515752,199.03538202225403
H1,870428583.8459496,2,1,4.643821697280282,-74.14219380884177,106.87770422304368
H2,739196365.086843,3,2,4.6549542764940535,-74.0361337355296,281.8640804157564
H3,659195090.518222,5,2,4.668410497632555,-74.03412415603106,151.7559963200034
H4,393611184.2654619,5,1,4.717776394208952,-74.05299231822603,232.5044568707964
H5,393596712.2017216,3,1,4.629951067323754,-74.1134463476992,162.3422152178822
H6,334850167.30091965,3,1,4.677135165762041,-74.13827934631924,204.01360423556216
H7,819705687.464961,3,3,4.688862185329306,-74.06789203681855,209.34205586865593
H8,660669007.0459253,5,3,4.606967561907999,-74.09718170075125,136.9708911051054
H9,724843546.6776273,5,3,4.691131727785216,-74.13535541181864,293.9169255529117
